,Year,Shares,Fuel,Weight (kg),Engine effect (kW),Prices (2015-DKK),key,kmL
150,2007,0.00055054,Benzin,1650,79.0,200912.744,suzuki-liana-2007-Benzin,14.5
151,2007,0.000527239,Benzin,1475,69.0,153530.4248,suzuki-ignis-2007-Benzin,15.4
152,2007,0.00052329,Benzin,1300,44.0,133171.0677,fiat-panda-2007-Benzin,18.2
153,2007,0.000484191,Benzin,1670,79.0,200907.0034,suzuki-sx4-2007-Benzin,14.7
154,2007,0.000478662,Benzin,1480,51.0,183903.5591,toyota-yaris-2007-Benzin,16.7
155,2007,0.000474318,Benzin,1525,59.0,142350.1722,ford-fiesta-2007-Benzin,16.1
156,2007,0.000446277,Benzin,1885,206.0,343781.8599,opel-vectra-2007-Benzin,13.2
157,2007,0.000428505,Benzin,1700,110.0,252212.3995,mazda-3-2007-Benzin,12.7
158,2007,0.000422581,Diesel,2040,103.0,459142.3651,audi-a4-2007-Diesel,17.2
159,2007,0.000421791,Benzin,1865,75.0,398459.2423,audi-a3-2007-Benzin,13.5
160,2007,0.000405204,Diesel,1675,55.0,144606.1998,opel-corsa-2007-Diesel,22.2
161,2007,0.000403624,Benzin,1275,51.0,109784.1561,ford-ka-2007-Benzin,16.9
162,2007,0.000401255,Benzin,1690,77.0,326063.1458,skoda-roomster-2007-Benzin,14.7
163,2007,0.000396515,Diesel,2000,88.0,343781.8599,opel-vectra-2007-Diesel,16.9
164,2007,0.000390986,Diesel,1800,66.0,227898.9667,opel-astra-2007-Diesel,20.8
165,2007,0.000381508,Benzin,1925,85.0,300804.822,skoda-octavia-2007-Benzin,13.6
166,2007,0.000370055,Diesel,3115,240.0,1154987.371,audi-q7-2007-Diesel,10.5
167,2007,0.000363736,Benzin,1950,155.0,310010.333,peugeot-407-2007-Benzin,13.0
168,2007,0.000358602,Benzin,1750,103.0,309989.667,honda-civic-2007-Benzin,15.2
169,2007,0.000347148,Benzin,1800,76.0,200911.5959,hyundai-matrix-2007-Benzin,13.7
170,2007,0.000343989,Diesel,2094,77.0,347010.333,seat-altea-2007-Diesel,18.5
171,2007,0.000333326,Benzin,1750,91.0,256634.9024,toyota-auris-2007-Benzin,14.1
172,2007,0.000320293,Benzin,1450,55.0,167611.9403,peugeot-206-2007-Benzin,15.6
173,2007,0.000294622,Benzin,1275,49.0,105619.977,chevrolet-matiz-2007-Benzin,17.9
174,2007,0.000285538,Benzin,1580,71.0,143269.8048,kia-rio-2007-Benzin,16.1
175,2007,0.000274875,Benzin,1765,89.0,218133.1803,chevrolet-nubira-2007-Benzin,13.3
176,2007,0.000262632,Benzin,1485,55.0,169694.6039,mazda-2-2007-Benzin,16.9
177,2007,0.000240516,Benzin,1810,85.0,318358.209,nissan-primera-2007-Benzin,13.9
178,2007,0.000232617,Diesel,2150,103.0,276684.271,hyundai-sonata-2007-Diesel,16.4
179,2007,0.000227088,Benzin,1900,92.0,402865.6716,volvo-v50-2007-Benzin,13.7
180,2007,0.000226693,Diesel,1880,103.0,398459.2423,audi-a3-2007-Diesel,19.6
181,2007,0.000221164,Benzin,1475,81.0,302960.9644,nissan-micra-2007-Benzin,15.2
182,2007,0.000220374,Diesel,1775,51.0,326063.1458,skoda-roomster-2007-Diesel,18.9
183,2007,0.000219189,Diesel,1760,66.0,256634.9024,toyota-auris-2007-Diesel,20.0
184,2007,0.000217215,Diesel,1600,81.0,131483.3525,hyundai-getz-2007-Diesel,21.7
185,2007,0.00021287,Benzin,1650,89.0,195173.3639,chevrolet-lacetti-2007-Benzin,13.9
186,2007,0.000212475,Benzin,1336,46.0,114809.4145,hyundai-atos-2007-Benzin,18.2
187,2007,0.000199837,Benzin,2094,75.0,347010.333,seat-altea-2007-Benzin,12.9
188,2007,0.000198258,Benzin,1700,107.0,308863.3754,volvo-c30-2007-Benzin,14.3
189,2007,0.000193518,Benzin,1855,66.0,258369.69,opel-meriva-2007-Benzin,14.9
190,2007,0.00018562,Benzin,1535,69.0,140498.2778,chevrolet-kalos-2007-Benzin,14.3
191,2007,0.000182855,Benzin,1775,72.0,229618.8289,mitsubishi-lancer-2007-Benzin,11.5
192,2007,0.000176931,Diesel,1820,66.0,195166.4753,hyundai-i30-2007-Diesel,21.2
193,2007,0.000164293,Benzin,2030,173.0,276684.271,hyundai-sonata-2007-Benzin,12.5
194,2007,0.00012559,Benzin,1720,90.0,195166.4753,hyundai-i30-2007-Benzin,16.4
195,2007,0.000117296,Benzin,1945,115.0,328351.3203,chevrolet-epica-2007-Benzin,12.2
196,2007,0.000116901,Diesel,1935,74.0,258369.69,opel-meriva-2007-Diesel,20.0
197,2007,0.000116506,Benzin,2160,147.0,691740.5281,volvo-s80-2007-Benzin,10.1
198,2007,0.000115716,Benzin,1830,104.0,369003.4443,nissan-qashqai-2007-Benzin,12.3
199,2007,0.000113347,Diesel,2225,81.0,299090.7003,mazda-5-2007-Diesel,15.9
